;X;TV;Radio;Newspaper;Web;Sales
138;138;273,7;28,9;59,7;288,2606107;20,8
139;139;43;25,9;20,5;181,3687405;9,6
140;140;184,9;43,9;1,7;106,2538289;20,7
141;141;73,4;17;12,9;174,7721375;10,9
142;142;193,7;35,4;75,6;152,2849369;19,2
143;143;220,5;33,2;37,9;6,007436198;20,1
144;144;104,6;5,7;34,4;336,5710945;10,4
145;145;96,2;14,8;38,9;157,4400468;11,4
146;146;140,3;1,9;9;231,8833851;10,3
147;147;240,1;7,3;8,7;23,49694327;13,2
148;148;243,2;49;44,3;151,9907333;25,4
149;149;38;40,3;11,9;75,20797752;10,9
150;150;44,7;25,8;20,6;235,6224486;10,1
151;151;280,7;13,9;37;81,04061705;16,1
152;152;121;8,4;48,7;103,255212;11,6
153;153;197,6;23,3;14,2;159,5225587;16,6
154;154;171,3;39,7;37,7;155,0162238;19
155;155;187,8;21,1;9,5;63,07120832;15,6
156;156;4,1;11,6;5,7;113,2707117;3,2
157;157;93,9;43,5;50,5;74,3619394;15,3
158;158;149,8;1,3;24,3;145,8032111;10,1
159;159;11,7;36,9;45,2;185,8660791;7,3
160;160;131,7;18,4;34,6;196,3703044;12,9
161;161;172,5;18,1;30,7;207,4968006;14,4
162;162;85,7;35,8;49,3;188,9335297;13,3
163;163;188,4;18,1;25,6;158,4615201;14,9
164;164;163,5;36,8;7,4;82,2287938;18
165;165;117,2;14,7;5,4;109,0087632;11,9
166;166;234,5;3,4;84,8;135,0249085;11,9
167;167;17,9;37,6;21,6;99,93695277;8
168;168;206,8;5,2;19,4;115,3719568;12,2
169;169;215,4;23,6;57,6;203,4312666;17,1
170;170;284,3;10,6;6,4;157,9001099;15
171;171;50;11,6;18,4;64,01480475;8,4
172;172;164,5;20,9;47,4;96,18039111;14,5
173;173;19,6;20,1;17;155,5836617;7,6
174;174;168,4;7,1;12,8;218,1808294;11,7
175;175;222,4;3,4;13,1;144,5256618;11,5
176;176;276,9;48,9;41,8;151,9907333;27
177;177;248,4;30,2;20,3;163,852044;20,2
178;178;170,2;7,8;35,2;104,9173441;11,7
179;179;276,7;2,3;23,7;137,3237723;11,8
180;180;165,6;10;17,6;151,9907333;12,6
181;181;156,6;2,6;8,3;122,1164703;10,5
182;182;218,5;5,4;27,4;162,387486;12,2
183;183;56,2;5,7;29,7;42,1992875;8,7
184;184;287,6;43;71,8;154,3097248;26,2
185;185;253,8;21,3;30;181,5790509;17,6
186;186;205;45,1;19,6;208,6926896;22,6
187;187;139,5;2,1;26,6;236,7440352;10,3
188;188;191,1;28,7;18,2;239,2757128;17,3
189;189;286;13,9;3,7;151,9907333;15,9
190;190;18,7;12,1;23,4;222,9069506;6,7
191;191;39,5;41,1;5,8;219,8905833;10,8
192;192;75,5;10,8;6;301,4811944;9,9
193;193;17,2;4,1;31,6;265,0286443;5,9
194;194;166,8;42;3,6;192,2462108;19,6
195;195;149,7;35,6;6;99,57998137;17,3
196;196;38,2;3,7;13,8;248,8410729;7,6
197;197;94,2;4,9;8,1;118,0418562;9,7
198;198;177;9,3;6,4;213,274671;12,8
199;199;283,6;42;66,2;237,4980635;25,5
200;200;232,1;8,6;8,7;151,9907333;13,4
